,Team,Role_Name,Task_Name,Claim,Creation_Date,Due_Date,Days_Overdue
7,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,CRT: Certificate Registered,08210030378,2022-01-13 00:00:00,2022-01-12 00:00:00,1
8,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,CRT: Process Weekly Compensation Payment,08210032211,2021-12-16 00:00:00,2022-01-07 00:00:00,6
9,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,CRT: Query Certificate,08210011575,2022-01-10 00:00:00,2022-01-12 00:00:00,1
10,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Claim Administration,08190061564,2022-01-06 00:00:00,2022-01-04 00:00:00,9
11,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Claim Administration,08210027417,2022-01-12 00:00:00,2022-01-11 00:00:00,2
12,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Claim Administration,08210027417,2022-01-13 00:00:00,2022-01-12 00:00:00,1
13,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Current Weekly Earnings,08210025419,2022-01-13 00:00:00,2022-01-12 00:00:00,1
14,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical and Like,04200039428,2022-01-12 00:00:00,2022-01-11 00:00:00,2
15,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical and Like,08200024569,2022-01-07 00:00:00,2022-01-06 00:00:00,7
16,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical and Like,08200024569,2022-01-10 00:00:00,2022-01-10 00:00:00,3
17,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical and Like,08200024569,2022-01-12 00:00:00,2022-01-10 00:00:00,3
18,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical and Like,08200064943,2022-01-13 00:00:00,2022-01-13 00:00:00,0
19,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,DOC: Medical and Like,08200064943,2022-01-13 00:00:00,2022-01-13 00:00:00,0
20,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,ELG: Notify worker reached 10 of 13 weeks,08210032512,2021-11-26 00:00:00,2022-01-10 00:00:00,3
21,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,GEN: Calculate PIAWE,08210039492,2021-12-01 00:00:00,2021-12-31 00:00:00,13
22,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,GEN: Make Weekly Payments,08210021086,2021-12-20 00:00:00,2021-12-30 00:00:00,14
23,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,INV: Worker Reimbursement,08160056732,2022-01-12 00:00:00,2022-01-12 00:00:00,1
24,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,OR: Review Work Report,08180045244,2021-12-21 00:00:00,2022-01-04 00:00:00,9
25,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,SUP: Fund details not received letter,08200029593,2022-01-10 00:00:00,2022-01-10 00:00:00,3
26,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08170038203,2021-12-20 00:00:00,2022-01-04 00:00:00,9
27,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08200058315,2021-12-14 00:00:00,2021-12-31 00:00:00,13
28,A1,10617_RETURN TO WORK CLAIMS PROCESSOR,USR: Contact Employer,08200065544,2021-12-30 00:00:00,2022-01-06 00:00:00,7
